iteration,energy
0,-0.87466495988359
1,-0.7878744046359671
2,-0.8289098393291847
3,-0.8982271455850064
4,-0.8960932119500011
5,-0.8390939858205397
6,-0.8613681131175088
7,-0.8434282077003706
8,-0.9113524607150291
9,-1.0132689108396449
10,-1.0642759289969268
11,-1.0727947477048714
12,-1.033077385677129
13,-1.0705643644186957
14,-1.0647041328132256
15,-1.07448468789211
16,-1.101325467108132
17,-1.060514017924599
18,-1.0988348856787582
19,-1.1082869232888715
20,-1.1099503168414813
21,-1.077205998369167
22,-1.1007714951437293
23,-1.1115429202681748
24,-1.1004661250586176
25,-1.1106628246175947
26,-1.0948448298265339
27,-1.1103568959761974
28,-1.1294515332322466
29,-1.1243270009826336
30,-1.123219441159339
31,-1.121177344041403
32,-1.1285575855196726
33,-1.1279535579245614
34,-1.1315081496476067
35,-1.1307983917112592
36,-1.1312818971976324
37,-1.1310286271352532
38,-1.1316713342566966
39,-1.1318658402881325
40,-1.1310994617190828
41,-1.13204838851976
42,-1.133233683316644
43,-1.133947798426072
44,-1.1343036606876369
45,-1.134666666685348
46,-1.1345686794251932
47,-1.1342915706712258
48,-1.1354323487302642
49,-1.135437562359371
50,-1.1354283597311778
51,-1.135464302833206
52,-1.1360024711083294
53,-1.1362510649776103
54,-1.1363616815208255
55,-1.1361575275682525
56,-1.1359879730646212
57,-1.1366561250398342
58,-1.1369176834306611
59,-1.1369502706525105
60,-1.1369424007280646
61,-1.1368577211458795
62,-1.1370400916984083
63,-1.1368721636006547
64,-1.136893685895954
65,-1.1371350951420118
66,-1.137138764269462
67,-1.1369632798672824
68,-1.1370800143833046
69,-1.1369871740027147
70,-1.1370411512366951
71,-1.1372460329648317
72,-1.1370985117749326
73,-1.1372418782526756
74,-1.1371953905178924
75,-1.137237333693358
76,-1.137216459700762
77,-1.137243222825742
78,-1.1372397343124956
79,-1.1372467784943336
80,-1.137239333239335
81,-1.137241493590218
82,-1.137253492316489
83,-1.137261913653165
84,-1.1372649668384667
85,-1.1372669121982235
86,-1.1372656772293332
87,-1.1372661564682605
88,-1.1372702015867362
89,-1.1372655648180117
90,-1.1372706034548425
91,-1.1372720104063463
92,-1.1372720838003527
93,-1.1372736528298117
94,-1.1372725407741453
95,-1.1372733348884114
96,-1.1372737614142343
97,-1.137272276542055
98,-1.1372737881803854
99,-1.1372729901540686
100,-1.1372732028902646
101,-1.1372729476049133
102,-1.1372738413545374
103,-1.1372738342314148
104,-1.1372737424609192
105,-1.1372739739690538
106,-1.137274137080792
107,-1.1372741459706521
108,-1.1372741840361633
109,-1.137274141637373
110,-1.1372741462208553
111,-1.1372742014383899
112,-1.1372741452057098
113,-1.1372742087232153
114,-1.1372741273474944
115,-1.1372741941171596
116,-1.1372742510305314
117,-1.1372742402225675
118,-1.1372742357365955
119,-1.1372741811092293
120,-1.1372742502381088
121,-1.13727420953572
122,-1.1372742311781427
123,-1.137274250021672
124,-1.1372742529757063
125,-1.1372742505172406
126,-1.1372742513343956
127,-1.1372742556161122
128,-1.1372742560775464
129,-1.1372742523577934
130,-1.1372742564277314
131,-1.1372742558532791
132,-1.137274256289886
133,-1.1372742560789633
134,-1.1372742556310835
135,-1.1372742550459494
136,-1.137274255647199
137,-1.1372742546463823
